SYMBOL,OPEN,HIGH,LOW,CLOSE,PREVCLOSE,RSI
20MICRONS,43.5,43.9,42.15,42.25,43.45,50.61728395061725
21STCENMGM,23.5,23.5,23.05,23.5,23.5,0.0
3IINFOTECH,3.6,3.75,3.55,3.65,3.6,0.0
3MINDIA,20011.4,20540.0,19997.0,20357.4,19990.25,27.32720588235304
3PLAND,11.0,12.4,11.0,11.6,11.6,0.0
5PAISA,298.0,298.45,295.5,298.45,284.25,0.0
63MOONS,96.45,97.55,95.0,95.25,96.45,0.0
717GS2028,105.0,105.0,97.1,97.1,101.44,0.0
8KMILES,134.35,134.35,129.0,131.25,133.9,8.385093167701982
A2ZINFRA,12.85,13.3,12.85,13.0,13.05,0.0
AAKASH,19.0,19.0,19.0,19.0,23.0,0.0
AARON,43.5,44.75,43.5,44.75,44.0,0.0
AARTIDRUGS,574.95,577.95,563.05,572.4,575.2,34.558823529411754
AARTIIND,1432.0,1465.75,1432.0,1463.35,1429.15,74.72140762463341
AARVEEDEN,27.6,28.2,27.0,28.05,28.0,0.0
AARVI,42.75,42.75,42.75,42.75,41.6,0.0
AAVAS,831.05,843.95,830.9,840.85,837.65,68.8871473354232
ABAN,73.15,73.95,72.5,73.25,73.5,0.0
ABB,1314.9,1318.95,1295.6,1303.65,1308.95,41.39452780229498
ABBOTINDIA,7510.0,7546.65,7485.1,7504.5,7471.95,56.71671671671673
ABCAPITAL,98.5,98.85,97.2,98.0,98.25,0.0
ABFRL,197.8,202.9,195.6,198.45,197.75,18.03278688524587
ABGSHIP,1.9,2.0,1.9,1.9,1.95,0.0
ACC,1458.0,1473.0,1437.55,1469.1,1452.25,44.757665677546896
ACCELYA,944.9,964.95,940.1,944.15,948.25,27.607361963190257
ACCURACY,62.0,62.0,62.0,62.0,64.45,0.0
ACE,98.3,99.2,97.0,98.6,97.35,97.38562091503265
ADANIENT,152.1,154.0,150.0,152.55,152.5,0.0
ADANIGAS,101.0,101.75,99.85,100.85,100.85,32.30769230769236
ADANIGREEN,40.95,41.3,40.4,40.55,40.95,0.0
ADANIPORTS,378.65,383.95,375.85,382.15,378.1,32.32628398791529
ADANIPOWER,50.4,50.65,49.7,50.05,50.35,0.0
ADANITRANS,201.15,201.55,197.5,200.1,201.15,66.99029126213563
ADFFOODS,273.3,273.3,263.0,264.4,268.0,58.30508474576225
ADHUNIK,2.15,2.2,2.1,2.15,2.15,0.0
ADHUNIKIND,49.0,50.85,48.0,50.1,48.1,78.39999999999998
ADLABS,11.05,11.05,10.75,10.85,11.0,0.0
ADORWELD,370.0,372.5,365.0,367.7,367.95,42.406311637080826
ADROITINFO,18.7,18.8,17.7,18.0,18.95,34.920634920634825
ADSL,14.15,14.3,14.0,14.05,14.45,0.0
ADVANIHOTR,63.8,64.9,62.05,63.4,63.0,0.0
ADVENZYMES,174.05,174.2,170.5,170.95,173.55,0.0
AEGISCHEM,206.95,211.7,204.25,208.4,206.85,99.08256880733941
AGARIND,185.9,190.95,183.6,186.4,186.65,0.0
AGCNET,89.0,101.75,82.5,101.75,84.8,90.90909090909092
AGLSL,63.6,66.6,63.55,66.1,65.0,73.33333333333326
AGRITECH,59.6,60.75,56.0,60.1,57.9,0.0
AGROPHOS,51.5,51.5,51.0,51.5,51.0,0.0
AHLADA,140.0,140.0,140.0,140.0,141.0,0.0
AHLEAST,240.8,244.3,238.65,241.7,240.1,14.611872146118685
AHLUCONT,323.9,325.7,320.9,321.8,323.2,82.06106870229011
AHLWEST,296.0,305.65,294.1,302.4,294.05,60.65934065934061
AIAENG,1662.1,1688.95,1601.1,1648.45,1677.6,30.811808118081146
AIFL,26.75,26.85,25.75,25.9,26.2,53.846153846153825
AIONJSW,38.95,40.0,38.7,39.3,38.9,0.0
AJANTPHARM,1155.5,1157.95,1113.3,1129.1,1150.9,0.0
AJMERA,168.8,172.0,166.2,167.15,166.45,55.28169014084497
AJOONI,22.0,22.85,20.75,22.85,22.3,0.0
AKASH,76.0,76.0,74.5,74.55,78.1,0.0
AKG,32.3,32.8,32.3,32.5,32.5,0.0
AKSHARCHEM,446.25,446.25,438.5,440.75,451.95,48.31649831649831
AKSHOPTFBR,24.9,25.25,24.55,24.65,24.9,0.0
AKZOINDIA,1777.1,1798.9,1758.05,1785.8,1801.25,88.64628820960704
ALANKIT,25.25,26.0,25.0,25.75,25.3,46.55172413793111
ALBERTDAVD,402.1,419.9,402.1,413.25,411.2,35.800344234079205
ALBK,45.0,46.9,44.5,46.7,44.7,37.38317757009346
ALCHEM,3.0,3.0,3.0,3.0,2.9,0.0
ALEMBICLTD,46.55,47.35,46.3,46.4,46.55,0.0
ALICON,578.05,587.9,577.0,578.7,577.95,52.1739130434784
ALKALI,53.95,54.75,53.3,54.75,53.8,0.0
ALKEM,1970.0,1970.0,1918.1,1950.05,1962.4,75.700400228702
ALKYLAMINE,792.3,800.0,781.0,786.85,786.4,67.65015806111691
ALLCARGO,107.05,108.45,106.5,106.65,107.55,0.0
ALLSEC,204.0,204.0,194.0,194.7,198.7,0.0
ALMONDZ,21.8,22.9,21.7,21.95,22.65,46.03174603174603
ALOKTEXT,3.9,4.0,3.9,3.9,3.95,0.0
ALPA,24.6,25.0,24.25,24.45,24.6,44.26229508196713
ALPHAGEO,480.0,480.0,461.35,465.4,468.45,23.51485148514847
AMARAJABAT,718.25,727.5,716.0,723.65,716.0,36.89776733254998
AMBER,912.0,919.9,900.0,918.4,901.4,61.03542234332429
